movie,title,genreName,grossNum,grossUnit,duration,pubDate
http://www.wikidata.org/entity/Q18816889,Assassin's Creed,fantasy; action; sci-fi; илмӣ-тахаюллӣ,240697856.0,http://www.wikidata.org/entity/Q4917,115.0,2016-12-21T00:00:00Z
http://www.wikidata.org/entity/Q604192,Atanarjuat: The Fast Runner,fantasy,5204281.0,http://www.wikidata.org/entity/Q4917,167.0,2001-05-13T00:00:00Z
http://www.wikidata.org/entity/Q21528112,Atomic Blonde,action,100014025.0,http://www.wikidata.org/entity/Q4917,115.0,2017-07-27T00:00:00Z
http://www.wikidata.org/entity/Q3604746,Avatar: The Way of Water,илмӣ-тахаюллӣ; action; sci-fi,2176229105.0,http://www.wikidata.org/entity/Q4917,192.0,2022-12-14T00:00:00Z
http://www.wikidata.org/entity/Q14171368,Avengers: Age of Ultron,sci-fi; илмӣ-тахаюллӣ,1402805868.0,http://www.wikidata.org/entity/Q4917,141.0,2015-04-22T00:00:00Z
http://www.wikidata.org/entity/Q23781155,Avengers: Endgame,action,2797501328.0,http://www.wikidata.org/entity/Q4917,181.0,2019-04-22T00:00:00Z
http://www.wikidata.org/entity/Q23780914,Avengers: Infinity War,action; sci-fi; илмӣ-тахаюллӣ,2048359754.0,http://www.wikidata.org/entity/Q4917,149.0,2018-04-25T00:00:00Z
http://www.wikidata.org/entity/Q21001674,Baahubali 2: The Conclusion,fantasy; action,254200000.0,http://www.wikidata.org/entity/Q4917,167.0,2017-04-27T00:00:00Z
http://www.wikidata.org/entity/Q23016644,Baby Driver,action,226945087.0,http://www.wikidata.org/entity/Q4917,113.0,2017-03-11T00:00:00Z
http://www.wikidata.org/entity/Q3079834,Baby Genius,sci-fi; илмӣ-тахаюллӣ,36450736.0,http://www.wikidata.org/entity/Q4917,97.0,1999-03-12T00:00:00Z
http://www.wikidata.org/entity/Q91540,Back to the Future,илмӣ-тахаюллӣ; sci-fi,383336762.0,http://www.wikidata.org/entity/Q4917,92.0,1985-07-03T00:00:00Z
http://www.wikidata.org/entity/Q539269,Bad Boys II,action,273339556.0,http://www.wikidata.org/entity/Q4917,141.0,2003-07-18T00:00:00Z
http://www.wikidata.org/entity/Q276523,Batman & Robin,action; sci-fi; илмӣ-тахаюллӣ,238235719.0,http://www.wikidata.org/entity/Q4917,125.0,1997-06-20T00:00:00Z
http://www.wikidata.org/entity/Q166262,Batman Begins,action,373672993.0,http://www.wikidata.org/entity/Q4917,140.0,2005-06-15T00:00:00Z
http://www.wikidata.org/entity/Q221345,Batman Forever,fantasy; action,336567158.0,http://www.wikidata.org/entity/Q4917,117.0,1995-06-16T00:00:00Z
http://www.wikidata.org/entity/Q189054,Batman Returns,action; sci-fi; илмӣ-тахаюллӣ; fantasy,266915287.0,http://www.wikidata.org/entity/Q4917,126.0,1992-06-16T00:00:00Z
http://www.wikidata.org/entity/Q26684198,Batman: Return of the Caped Crusaders,action; sci-fi; илмӣ-тахаюллӣ,56711.0,http://www.wikidata.org/entity/Q4917,78.0,2016-10-11T00:00:00Z
http://www.wikidata.org/entity/Q1170818,Batteries Not Included,илмӣ-тахаюллӣ; fantasy; sci-fi,65088797.0,http://www.wikidata.org/entity/Q4917,102.0,1987-12-18T00:00:00Z
http://www.wikidata.org/entity/Q816156,Below,Horror; горор,2622015.0,http://www.wikidata.org/entity/Q4917,105.0,2002-10-11T00:00:00Z
http://www.wikidata.org/entity/Q180098,Ben-Hur,action,164000000.0,http://www.wikidata.org/entity/Q4917,222.0,1959-11-18T00:00:00Z
http://www.wikidata.org/entity/Q525860,Beverly Hills Cop II,action,299965036.0,http://www.wikidata.org/entity/Q4917,100.0,1987-05-20T00:00:00Z
http://www.wikidata.org/entity/Q858467,Big,fantasy,151927281.0,http://www.wikidata.org/entity/Q4917,104.0,1988-06-03T00:00:00Z
http://www.wikidata.org/entity/Q1194035,Big Man Japan,fantasy,9795470.0,http://www.wikidata.org/entity/Q4917,113.0,2007-06-02T00:00:00Z
http://www.wikidata.org/entity/Q57177410,Birds of Prey,action,205372791.0,http://www.wikidata.org/entity/Q4917,109.0,2020-02-06T00:00:00Z
http://www.wikidata.org/entity/Q28657013,Black Adam,fantasy; action; sci-fi; илмӣ-тахаюллӣ,392952111.0,http://www.wikidata.org/entity/Q4917,124.0,2022-10-19T00:00:00Z
http://www.wikidata.org/entity/Q221384,Black Hawk Down,action,172989651.0,http://www.wikidata.org/entity/Q4917,143.0,2001-12-18T00:00:00Z
http://www.wikidata.org/entity/Q23780734,Black Panther,action; sci-fi; илмӣ-тахаюллӣ,1347597973.0,http://www.wikidata.org/entity/Q4917,134.0,2018-02-14T00:00:00Z
http://www.wikidata.org/entity/Q54860489,Black Panther: Wakanda Forever,action,859208836.0,http://www.wikidata.org/entity/Q4917,161.0,2022-11-09T00:00:00Z
http://www.wikidata.org/entity/Q1048085,Black Rain,action,134212055.0,http://www.wikidata.org/entity/Q4917,125.0,1989-09-22T00:00:00Z
http://www.wikidata.org/entity/Q180214,Black Swan,Horror; горор,329398046.0,http://www.wikidata.org/entity/Q4917,108.0,2010-09-01T00:00:00Z
http://www.wikidata.org/entity/Q23894626,Black Widow,action; sci-fi; илмӣ-тахаюллӣ,379751655.0,http://www.wikidata.org/entity/Q4917,133.0,2021-07-07T00:00:00Z
http://www.wikidata.org/entity/Q3429263,Blade,fantasy; action; Horror; горор; sci-fi; илмӣ-тахаюллӣ,131211377.0,http://www.wikidata.org/entity/Q4917,120.0,1998-08-19T00:00:00Z
http://www.wikidata.org/entity/Q159638,Blade II,илмӣ-тахаюллӣ; fantasy; action; Horror; горор; sci-fi,155010032.0,http://www.wikidata.org/entity/Q4917,117.0,2002-03-12T00:00:00Z
http://www.wikidata.org/entity/Q184843,Blade Runner,action; sci-fi; илмӣ-тахаюллӣ,41722424.0,http://www.wikidata.org/entity/Q4917,112.0,1982-06-25T00:00:00Z
http://www.wikidata.org/entity/Q21500755,Blade Runner 2049,action; sci-fi; илмӣ-тахаюллӣ,259239658.0,http://www.wikidata.org/entity/Q4917,164.0,2017-10-04T00:00:00Z
http://www.wikidata.org/entity/Q28213068,Blade of the Immortal,action,7162617.0,http://www.wikidata.org/entity/Q4917,141.0,2017-04-29T00:00:00Z
http://www.wikidata.org/entity/Q217008,Blade: Trinity,fantasy; action; Horror; горор; sci-fi; илмӣ-тахаюллӣ,131977904.0,http://www.wikidata.org/entity/Q4917,113.0,2004-12-08T00:00:00Z
http://www.wikidata.org/entity/Q884473,Blitz,action,15774948.0,http://www.wikidata.org/entity/Q4917,97.0,2011-05-20T00:00:00Z
http://www.wikidata.org/entity/Q724960,Bloodsport,action,50000000.0,http://www.wikidata.org/entity/Q4917,92.0,1988-02-26T00:00:00Z
http://www.wikidata.org/entity/Q107071554,Bodies Bodies Bodies,чёрная комедия; Horror; горор,13929670.0,http://www.wikidata.org/entity/Q4917,94.0,2022-03-14T00:00:00Z
http://www.wikidata.org/entity/Q107325,Bram Stoker's Dracula,Horror; горор,215862692.0,http://www.wikidata.org/entity/Q4917,128.0,1992-11-13T00:00:00Z
http://www.wikidata.org/entity/Q162729,Braveheart,action,213200000.0,http://www.wikidata.org/entity/Q4917,177.0,1995-05-24T00:00:00Z
http://www.wikidata.org/entity/Q875904,Bride of Frankenstein,Horror; горор; sci-fi; илмӣ-тахаюллӣ,2000000.0,http://www.wikidata.org/entity/Q4917,78.0,1935-04-20T00:00:00Z
http://www.wikidata.org/entity/Q99900595,Bullet Train,action,239246943.0,http://www.wikidata.org/entity/Q4917,126.0,2022-07-14T00:00:00Z
http://www.wikidata.org/entity/Q1004410,Bullet in the Head,action,8545123.0,http://www.wikidata.org/entity/Q31015,136.0,1990-08-17T00:00:00Z
http://www.wikidata.org/entity/Q64174907,Candyman,Horror; горор,77411570.0,http://www.wikidata.org/entity/Q4917,91.0,2021-08-26T00:00:00Z
http://www.wikidata.org/entity/Q275120,Captain America: The First Avenger,sci-fi; илмӣ-тахаюллӣ; action,370569774.0,http://www.wikidata.org/entity/Q4917,124.0,2011-07-22T00:00:00Z
