,movie,title,genreName,grossNum,adjustedGross,grossUnit,duration,pubDate,pubMonth,pubYear
0,http://www.wikidata.org/entity/Q300356,A Chinese Ghost Story,fantasy,3783972.0,10230390.590615114,http://www.wikidata.org/entity/Q4917,92.0,1987-07-18T00:00:00Z,7,1987
1,http://www.wikidata.org/entity/Q39070473,A Quiet Place,илмӣ-тахаюллӣ; Horror; горор; sci-fi,340939361.0,418674232.03017014,http://www.wikidata.org/entity/Q4917,90.0,2018-04-05T00:00:00Z,4,2018
2,http://www.wikidata.org/entity/Q39070473,A Quiet Place,Horror; горор; sci-fi; илмӣ-тахаюллӣ,340952971.0,418690945.13798267,http://www.wikidata.org/entity/Q4917,90.0,2018-04-05T00:00:00Z,4,2018
3,http://www.wikidata.org/entity/Q56277622,A Shaun the Sheep Movie: Farmageddon,sci-fi; илмӣ-тахаюллӣ,16489589.0,19852897.840010487,http://www.wikidata.org/entity/Q4917,87.0,2019-04-05T00:00:00Z,4,2019
4,http://www.wikidata.org/entity/Q255260,A Tale of Two Sisters,горор; Horror,1062878.0,1780167.322471421,http://www.wikidata.org/entity/Q4917,110.0,2003-06-13T00:00:00Z,6,2003
5,http://www.wikidata.org/entity/Q28698824,A Taxi Driver,action,86252940.0,108087473.07841755,http://www.wikidata.org/entity/Q4917,137.0,2017-08-02T00:00:00Z,8,2017
6,http://www.wikidata.org/entity/Q332368,A View to a Kill,action,152400000.0,436990311.276794,http://www.wikidata.org/entity/Q4917,131.0,1985-05-24T00:00:00Z,5,1985
7,http://www.wikidata.org/entity/Q221113,A.I. Artificial Intelligence,sci-fi; илмӣ-тахаюллӣ,235926552.0,407796394.2718652,http://www.wikidata.org/entity/Q4917,146.0,2001-06-29T00:00:00Z,6,2001
8,http://www.wikidata.org/entity/Q38774788,Ad Astra,sci-fi; илмӣ-тахаюллӣ,127461872.0,152855578.93385512,http://www.wikidata.org/entity/Q4917,123.0,2019-08-29T00:00:00Z,8,2019
9,http://www.wikidata.org/entity/Q204725,Addams Family Values,fantasy; Horror; горор,110900000.0,234024100.82304522,http://www.wikidata.org/entity/Q4917,90.0,1993-11-19T00:00:00Z,11,1993
10,http://www.wikidata.org/entity/Q1254088,After Earth,action; sci-fi; илмӣ-тахаюллӣ,243800000.0,322008155.573204,http://www.wikidata.org/entity/Q4917,100.0,2013-05-31T00:00:00Z,5,2013
11,http://www.wikidata.org/entity/Q63398229,After Yang,sci-fi; илмӣ-тахаюллӣ,729254.0,798050.5194203764,http://www.wikidata.org/entity/Q4917,96.0,2022-01-21T00:00:00Z,1,2022
12,http://www.wikidata.org/entity/Q407184,Air Force One,action,315156409.0,604140109.1179999,http://www.wikidata.org/entity/Q4917,124.0,1997-07-25T00:00:00Z,7,1997
13,http://www.wikidata.org/entity/Q1346658,Airport '77,action,91000000.0,470555647.0588235,http://www.wikidata.org/entity/Q4917,114.0,1977-03-11T00:00:00Z,3,1977
14,http://www.wikidata.org/entity/Q392924,Airport 1975,action,103000000.0,620158767.1232876,http://www.wikidata.org/entity/Q4917,107.0,1974-10-18T00:00:00Z,10,1974
15,http://www.wikidata.org/entity/Q27188178,Aladdin,fantasy; action,1050693953.0,1262312212.8510966,http://www.wikidata.org/entity/Q4917,128.0,2019-05-22T00:00:00Z,5,2019
16,http://www.wikidata.org/entity/Q27188178,Aladdin,fantasy; action,1050693953.0,1262312212.8510966,http://www.wikidata.org/entity/Q4917,129.0,2019-05-22T00:00:00Z,5,2019
17,http://www.wikidata.org/entity/Q103569,Alien,action; Horror; горор; sci-fi; илмӣ-тахаюллӣ,106285522.0,457356263.48618186,http://www.wikidata.org/entity/Q4917,117.0,1979-05-25T00:00:00Z,5,1979
18,http://www.wikidata.org/entity/Q2346766,Alien Nation,илмӣ-тахаюллӣ; action; sci-fi,32155047.0,82305952.29232113,http://www.wikidata.org/entity/Q4917,91.0,1988-10-07T00:00:00Z,10,1988
19,http://www.wikidata.org/entity/Q20430699,Alien: Covenant,action; Horror; горор; sci-fi; илмӣ-тахаюллӣ,240891763.0,302841911.85484993,http://www.wikidata.org/entity/Q4917,122.0,2017-05-12T00:00:00Z,5,2017
20,http://www.wikidata.org/entity/Q104814,Aliens,action; Horror; горор; sci-fi; илмӣ-тахаюллӣ,131060248.0,368250571.34619176,http://www.wikidata.org/entity/Q4917,137.0,1986-07-18T00:00:00Z,7,1986
21,http://www.wikidata.org/entity/Q259937,Alligator,sci-fi; илмӣ-тахаюллӣ,6459000.0,23242654.842105262,http://www.wikidata.org/entity/Q4917,87.0,1980-11-14T00:00:00Z,11,1980
22,http://www.wikidata.org/entity/Q16970789,American Sniper,action,547426372.0,717285399.8075566,http://www.wikidata.org/entity/Q4917,132.0,2014-12-25T00:00:00Z,12,2014
23,http://www.wikidata.org/entity/Q21511509,Annabelle: Creation,горор; Horror,306515884.0,384108963.2418021,http://www.wikidata.org/entity/Q4917,109.0,2017-08-10T00:00:00Z,8,2017
24,http://www.wikidata.org/entity/Q25136228,Annihilation,action; Horror; горор; sci-fi; илмӣ-тахаюллӣ,43070915.0,53221487.8809475,http://www.wikidata.org/entity/Q4917,115.0,2018-02-23T00:00:00Z,2,2018
25,http://www.wikidata.org/entity/Q5901134,Ant-Man,action; sci-fi; илмӣ-тахаюллӣ,519311965.0,669493205.9949341,http://www.wikidata.org/entity/Q4917,117.0,2015-07-14T00:00:00Z,7,2015
