"movie","title","genre","gross","inflationAdjustedGross"
"http://dbpedia.org/resource/101_Dalmatians_II:_Patch's_London_Adventure","101 Dalmatiërs II: Het avontuur van Vlek in Londen",,,0
"http://dbpedia.org/resource/101_Dalmatians_II:_Patch's_London_Adventure","101 dalmatyńczyków II. Londyńska przygoda",,,0
"http://dbpedia.org/resource/101_Dalmatians_II:_Patch's_London_Adventure","101 Dalmatians II: Patch's London Adventure",,,0
"http://dbpedia.org/resource/101_Dalmatians_II:_Patch's_London_Adventure","101 далматинец 2: Приключения Патча в Лондоне",,,0
"http://dbpedia.org/resource/101_Dalmatians_II:_Patch's_London_Adventure","De 101 dalmatinerna II – Tuffs äventyr i London",,,0
"http://dbpedia.org/resource/101_Dalmatians_II:_Patch's_London_Adventure","101忠狗續集：倫敦大冒險",,,0
"http://dbpedia.org/resource/102_Dalmatians","102 كلب مرقش (فيلم)",,,0
"http://dbpedia.org/resource/102_Dalmatians","102 Dalmatians",,,0
"http://dbpedia.org/resource/102_Dalmatians","102 Dalmatiner",,,0
"http://dbpedia.org/resource/102_Dalmatians","Τα 102 σκυλιά της Δαλματίας",,,0
"http://dbpedia.org/resource/102_Dalmatians","102 Dalmatians",,,0
"http://dbpedia.org/resource/102_Dalmatians","102 dálmatas",,,0
"http://dbpedia.org/resource/102_Dalmatians","102 Dalmatians",,,0
"http://dbpedia.org/resource/102_Dalmatians","102 Dalmatians",,,0
"http://dbpedia.org/resource/102_Dalmatians","102 Dalmatiens",,,0
"http://dbpedia.org/resource/102_Dalmatians","La carica dei 102 - Un nuovo colpo di coda",,,0
"http://dbpedia.org/resource/102_Dalmatians","102 (映画)",,,0
"http://dbpedia.org/resource/102_Dalmatians","102 달마시안",,,0
"http://dbpedia.org/resource/102_Dalmatians","102 dalmatyńczyki",,,0
"http://dbpedia.org/resource/102_Dalmatians","102 Echte Dalmatiërs",,,0
"http://dbpedia.org/resource/102_Dalmatians","102 Dalmatians",,,0
"http://dbpedia.org/resource/102_Dalmatians","102 dalmatiner",,,0
"http://dbpedia.org/resource/102_Dalmatians","102 далматинца",,,0
"http://dbpedia.org/resource/102_Dalmatians","102 далматинці",,,0
"http://dbpedia.org/resource/102_Dalmatians","102斑點狗",,,0
